,last_name,first_name,affiliation_names,affiliation_locations
496,Ordóñez-Andrade,Cristian,['University of Las Américas'],"['Quito, Ecuador']"
497,Ornellas,Jason,['Bonneville International'],"['Sacramento, CA, USA']"
498,Ortolani,Nicola,['Università Politecnica delle Marche'],['Ancona']
499,Ottenritter,Cheryl,['Ott House Audio'],"['Silver Spring, MD, USA']"
500,Panzer,Joerg,['R&D Team'],"['Salgen, Germany']"
501,Pappachan Kannookadan,Tyson,['TU- Ilmenau'],"['Ilmenau, Germany']"
502,Paradis,Matthew,['BBC Research and Development'],"['London, UK']"
503,Park,Inyoung,['Gwangju Institute of Science and Technology'],['None']
504,Park,Munhum,"[""King Mongkut's Institute of Technology Ladkrabang""]","['Bangkok, Thailand']"
505,Parmentier,Matthieu,['francetélévisions'],"['Paris, France']"
506,Paschal,Chiquita,"['Uncivil, Another Round']",['None']
507,Patricio,Eduardo,['Zylia Sp. z o.o.'],"['Poznan, Poland']"
508,Pawelski,Cheryl,['Omnivore Records'],['None']
509,Payne,Piper,"['Piper Payne, Mastering Engineer, Infrasonic Sound']","['San Francisco Bay Area, CA']"
510,Pearson,Tony,['North Carolina State University'],['None']
511,Pearson-Adams,Michael,['Waves'],"['Knoxville, TN, USA']"
512,Peissig,Jürgen,['Leibniz Universität Hannover'],"['Hannover, Germany']"
513,Peng,Renhua,['Chinese Academy of Sciences'],"['Beijing, China']"
514,Penny,Greg,['None'],['None']
515,Perla,Julia,['Belmont University'],"['Nashville, TN, USA']"
516,Perlin,Ken,['New York University'],"['New York, NY, USA']"
517,Peters,Nils,"['Qualcomm, Advanced Tech R&D']","['San Diego, CA, USA']"
518,Petersen,Lars,['ICEpower A/S'],"['Søborg, Denmark']"
519,Pettinato,Michelle,"['Sound Engineer- Elvis Costello', 'MixingMusicLive.com']","['Scranton, PA USA', 'None']"
520,Petty,Mark,['Gearbox Software'],['None']
521,Philbert,Steve,['University of Rochester'],"['Rochester, NY, USA']"
522,Phillips,Cassidy,['Imagine Communications'],"['Plano, TX, USA']"
523,Phillips,Jonathan,['University of Southhampton'],"['Southampton, UK']"
524,Piazza,Francesco,['Universitá Politecnica della Marche'],['Ancona']
525,Picotte,Mike,['Producer Engineer Sweetwater Sound'],"['Fort Wayne, IN, USA']"
526,Pike,Chris,"['BBC Research and Development', 'University of York']","['Salford, UK', 'York, UK']"
527,Pines,Jonathan,"['Rupert Neve Designs', 'sE Electronics']","['Wimberley, TX, USA', 'None']"
528,Piotrowska,Magdalena,"['Gdansk University of Technology', 'Hear Candy Mastering']","['Poland', 'Poland']"
529,Pizzi,Skip,['NAB'],"['Washington DC, USA']"
530,Plantier,Guy,['LAUM'],"['Les Mans, France']"
531,Pollock,Jamie,['Kore Audio Design LLC'],['None']
532,Ponteggia,Daniele,['Audiomatica Srl'],"['Firenze, Italy']"
533,Porter,Brett,['Art+Logic'],"['Fanwood, NJ, USA']"
534,Powell,Vance,['Global Positioning Services'],"['New York, NY, USA']"
535,Power,Bob,['None'],['None']
536,Pras,Amandine,"['Digital Audio Arts', 'School for Advanced Studies in the Social Sciences']","['University of Lethbridge', 'Paris, France']"
537,Preihs,Stephan,['Leibniz Universität Hannover'],"['Hannover, Germany']"
538,Pretolesi,Luca,['Studio DMI'],"['Las Vegas, NV, USA']"
539,Pribble,Kelly,['Iron Mountain Entertainment Services'],"['Moonachie, New Jersey, USA']"
540,Price,Howard,['None'],['None']
541,Profeta,Renato,['Ilmenau University of Technology'],"['Ilmenau, Germany']"
542,Proper,Darcy,['Darcy Proper Mastering at Valhalla Studios'],"['Auburn, NY, USA']"
543,Psaroudakis,Alex,['Alex Psaroudakis Mastering'],"['Brooklyn, NY, USA']"
544,Puig,Jack,['Record Executive/Producer/Mixer'],"['Hollywood, CA, USA']"
545,Pulkki,Ville,['Aalto University'],"['Espoo, Finland']"
546,Puyana-Romero,Virginia,['University of Las Américas'],"['Quito, Ecuador']"
547,Pye,Dan,['Harman International'],"['Northridge, CA, USA']"
548,Quiroz Orozco,Diego,['McGill University'],"['Montreal, QC, Canada']"
549,Rafter,Heather,['RafterMarsh US'],"['San Francisco, CA, USA']"
550,Rawoof,Shanavaz,['TU Dresden'],"['Dresden, Germany']"
551,Rayner,Andy,['Nevion'],['None']
552,Ready,Brian,['CP Communications'],['None']
553,Reams,Robert,['Psy'],['None']
554,Reid,Joseph,['Perkins Coie'],"['San Diego, CA, USA']"
555,Reid,Wisam,['Harvard Medical School'],['None']
556,Reiss,Joshua,['Queen Mary University of London'],"['London, UK']"
557,Ren,Gang,['University of Miami'],"['Coral Gables, FL, USA']"
558,Richardson,Sean,['Starz Entertainment'],"['Denver, CO, USA']"
559,Robbins,Grey,['Facebook'],['None']
560,Roessner,Stephen,['University of Rochester'],"['Rochester, NY, USA']"
561,Rogers,Susan,['Berklee College of Music'],"['Boston, MA, USA']"
562,Roginska,Agnieszka,['New York University'],"['New York, NY, USA']"
563,Romanowski,Michael,"['Coast Mastering', 'The Tape Project']","['Berkeley, CA, USA', 'None']"
564,Rosenthal,David,['Musical Director'],"['New York, NY, USA']"
565,Rosenthal,Steve,['MARS'],['None']
566,Rossum,David,"['Rossum Electro-Music LLC', 'Universal Audio, Inc']","['Santa Cruz, CA, USA', 'Scotts Valley, CA  USA']"
567,Roundy,Andrew,"['Dolby Laboratories, Inc.']","['San Francisco, CA, USA']"
568,Rudzki,Tomasz,['University of York'],"['York, UK']"
569,Rumery,Ryan,"['Sounddesigner & Composer, Pen o Three']","['Brooklyn, NY, USA']"
570,Russon,Laura,['BBC Studios'],"['Cardiff, Wales, UK']"
571,Rutledge,Jack,['None'],['None']
572,Ryan,Timothy,['Webster University'],['None']
573,Sahara,Tom,"['Turner Sports Vice President, Operations and Technology, Turner Sports']","['Atlanta, GA, USA']"
574,Saito,Aya,['University of Aizu'],"['Aizuwakamatsu City, Japan']"
575,Saji,Akira,['University of Aizu'],"['Aizuwakamatsu City, Japan']"
576,Sakamoto,Shuichi,['Tohoku University'],"['Sendai, Japan']"
577,Sallem,Nizar,['Mentor Graphics'],"['Mountain View, CA, USA']"
578,Sanchez,Caroline,"['Saturday Night Live, Good Morning America']","['Brooklyn, NY, USA']"
579,Sandler,Mark,['Queen Mary University of London'],"['London, UK']"
580,Sang,Jinqiu,['Chinese Academy of Sciences'],"['Beijing, China']"
581,Sardina,Rafa,"['Fishbone Productions, Inc.', 'AfterHours Studios']","['Los Angeles, CA, USA', 'Los Angeles, CA, USA']"
582,Sawaguchi,Mick,['Mick Sound Lab'],"['Tokyo, Japan']"
583,Schaller,Thilo,['SUNY Buffalo State'],"['Buffalo, NY, USA']"
584,Schlett,Daniel,['Strange Weather Studio'],"['Brooklyn, NY, USA']"
585,Schmidt,Konstantin,['Friedrich-Alexander-University'],['None']
586,Schmidt Horning,Susan,"[""St. John's University""]",['None']
587,Schuller,Gerald,"['Ilmenau University of Technology', 'Fraunhofer Institute for Digital Media technology']","['IImenau, Germany', 'None']"
588,Schwartz,Molly,['None'],['None']
589,Schwenke,Roger,['Meyer Sound Laboratories'],"['Berkeley, CA, USA']"
590,Scott,Jonathan,['University of Waikato'],"['Hamilton, Waikato, New Zealand']"
591,Scott,Ken,['Leeds Beckett University'],"['Leeds, UK']"
592,Seay,Toby,['Drexel University'],"['Philadelphia, PA, USA']"
593,Seefeldt,Alan,['Dolby Labs'],"['San Francisco, CA, USA']"
594,Seegull,Rick,['Riedel Communications'],"['Burbank, CA, USA']"
595,Segerstrom,Eric,['Rensselaer Polytechnic Institute'],"['Troy, NY, USA']"
596,Selfon,Scott,"['Audio Experiences Lead, Facebook Reality Labs']",['None']
597,Seligman,Gerald,['None'],['None']
598,Settel,Zack,['University of Montreal'],"['Montreal, Quebec, Canada']"
599,Shabalina,Elena,['d&b audiotechnik'],"['Backnang, Germany']"
600,Shaw,Haley,['Gimlet Media'],"['Brooklyn, NY, USA']"
601,Shen,Yong,['Nanjing University'],"['Nanjing, Jiangsu Province, China']"
602,Shirley,Ben,"['University of Salford', 'Salsa Sound Ltd']","['Salford, Greater Manchester, UK', 'Salford, Greater Manchester, UK']"
603,Shively,Roger,"['JJR Acoustics, LLC']","['Seattle, WA, USA']"
604,Shocklee,Hank,['Shocklee Entertainment'],"['New York, NY, USA']"
605,Shultis,Steve,"['Chief Technology Officer, New York Public Radio']","['New York, NY, USA']"
606,Sickler,Don,['Second Floor Music'],"['New York, NY, USA']"
607,Sickler,Maureen,['Second Floor Music'],"['New York, NY, USA']"
